player_name,team,season,age,games_played,games_started,minutes_per_game,points,rebounds,assists,steals,blocks,turnovers,fg_pct,three_pt_pct,ft_pct,usage_rate,per,true_shooting_pct,bpm,vorp
DeAndre Collins,BOS,2000-01,19,57,50,28.7,4.5,1.5,4.4,1.5,0,1.1,0.456,0.397,0.862,29.3,,,,
Tyrese Young,NOP,2000-01,23,45,13,13.1,12.1,9.5,4.1,0.7,1.6,0.3,0.387,0.38,0.756,19.1,,,,
Anthony Green,SAC,2000-01,24,58,42,22.9,3.8,6.9,4.6,1.2,0.8,1.7,0.496,0.404,0.821,33.8,,,,
CJ Moore,DEN,2000-01,23,64,52,24.0,20.7,4.3,0.4,1.3,0.4,1.0,0.49,0.343,0.809,23.6,,,,
Darius Nelson,ORL,2000-01,21,37,13,20.5,10.9,0.5,3.1,1.0,0.6,2.1,0.516,0.408,0.836,33.4,,,,
Kevin White,LAC,2000-01,19,25,9,29.0,14.7,6.5,3.9,0.5,0,1.0,0.47,0.385,0.796,25.5,,,,
Zach Moore,LAL,2000-01,19,60,6,29.6,14.5,7.7,2.9,1.4,0.8,1.9,0.407,0.341,0.832,16.9,,,,
Jayson King,MIN,2000-01,23,74,9,21.3,8.5,9.3,0.2,1.3,0.9,0.5,0.433,0.409,0.773,30.1,,,,
DeAndre Nelson,ATL,2000-01,22,67,50,21.4,13.3,2.9,2.5,1.9,1.3,2.6,0.496,0.313,0.892,32.5,,,,
Kyle Allen,SAC,2000-01,20,51,30,18.6,3.3,1.6,1.5,1.1,0.3,1.5,0.514,0.337,0.829,18.3,,,,
Pascal Phillips,ORL,2000-01,23,36,28,11.5,18.9,7.0,3.3,0.9,0.7,1.9,0.391,0.345,0.759,32.1,,,,
Devin Turner,SAS,2000-01,22,80,44,16.9,23.7,0.5,0.2,0.5,0,1.6,0.542,0.328,0.795,34.3,,,,
Cade Collins,MEM,2000-01,22,82,68,35.0,14.6,1.2,1.9,0.8,1.3,1.3,0.465,0.297,0.737,21.1,,,,
Jaylen Martin,MIL,2000-01,19,55,10,21.8,11.8,1.6,3.8,1.6,0.9,5.2,0.506,0.406,0.666,16.2,,,,
Bam Mitchell,MEM,2000-01,21,66,47,36.9,16.6,4.2,3.8,1.2,0.3,1.5,0.467,0.348,0.799,31.8,,,,
