player_id,full_name,position,height_inches,weight_lbs,draft_year
200000,Jordan Williams,F,75,197,2021
200001,DeAndre Collins,G,72,191,2000
200002,Jalen Thompson,F-C,75,263,2014
200003,Fred Mitchell,F-C,76,180,2005
200004,Darius Roberts,F,75,223,2008
200005,DeAndre Wilson,C,77,257,2010
200006,Luka Brown,F-C,73,228,2021
200007,Kevin Stewart,F-C,75,270,2007
200008,Anthony Brown,C,73,209,2019
200009,DeAndre Nelson,C,74,227,2006
200010,Ja Martin,G,81,261,2019
200011,Darius Collins,F,79,228,2021
200012,Devin Stewart,G,75,184,2005
200013,Cade Carter,F,81,220,2006
200014,Jalen Parker,F,76,197,2010
200015,Zion Stewart,F-C,78,254,2015
200016,Nikola Baker,F-C,79,191,2005
200017,Chris Taylor,G-F,81,188,2002
200018,Giannis Nelson,F-C,76,250,2017
200019,James Taylor,C,73,217,2019
200020,Jayson Jackson,C,80,202,2012
200021,Domantas Moore,F-C,81,205,2018
200022,Jaylen Baker,F-C,84,247,2022
200023,James Reed,G,73,226,2008
200024,Tyrese Young,F-C,73,190,1999
200025,Brandon Miller,F,82,240,2022
200026,CJ Jackson,F-C,78,207,2006
200027,Fred Harris,G-F,82,263,2020
200028,Damian Turner,G,75,208,2014
200029,Anthony Green,F-C,75,180,1998
200030,Anthony Davis,G,77,189,2005
200031,Domantas Young,F,80,196,2006
200032,Zach Morris,G-F,84,232,2013
200033,Kyle Moore,C,78,232,2001
200034,Bam Davis,G,78,223,2019
200035,DeAndre Young,F-C,79,197,2004
200036,Jayson White,F,73,236,2006
200037,CJ Moore,G,84,210,1999
200038,Darius Mitchell,F,78,187,2013
200039,Darius Nelson,C,84,238,1998
200040,Shai Roberts,F,75,217,2020
200041,Jalen Davis,C,72,186,2016
200042,DeMar Campbell,F,72,245,2014
200043,Kevin White,F,78,195,2000
200044,Zach Young,F-C,73,233,2016
200045,DeMar Morris,C,75,265,2014
200046,Cade Young,F,82,262,2006
200047,Tyrese Phillips,G,79,259,2008
200048,Zach Moore,F-C,76,196,2000
200049,Ja Miller,C,74,236,2005
200050,Fred Lopez,G,82,250,2017
200051,Tyrese Moore,G,73,250,2002
200052,Jaylen King,C,75,267,2007
200053,Luka Evans,G,73,261,2013
200054,Jayson King,C,84,196,1999
200055,Luka Jackson,F-C,83,234,2021
200056,CJ Johnson,F,80,184,2001
200057,Damian Murphy,G-F,74,185,2015
200058,Tyrese Baker,C,75,267,2023
200059,Zion Moore,F-C,83,199,2009
200060,Zion Jackson,G-F,72,202,2023
200061,LaMelo Mitchell,C,74,269,2023
200062,DeAndre Nelson,F,75,238,1999
200063,Ja Lopez,F,72,264,2023
200064,Kyle Carter,G,84,215,2008
200065,Ja Evans,G,73,213,2010
200066,Andre Murphy,G,81,235,2006
200067,Ja Hill,G,78,253,2011
200068,Kyle Allen,G,80,248,1999
